id,slug,name,category,sub_category,pitch,onet_codes,budget_band,location,team,time_mode,km_legacy_id
164,coworking-and-coliving,Co-working & Co-living Space,Events & Hospitality,Spaces,"Shared desks or furnished shared homes for freelancers, students and young professionals.",11-9141.00;41-2021.00,4,local,small,full,
165,recycling-and-waste,Recycling & Waste Management,Crafts & Manufacturing,Recycling,"Collect and process scrap, plastic or organic waste into saleable material.",53-7081.00;11-3051.00,3,any,team,full,
166,clothing-rental,Clothing & Outfit Rental,Retail & Trading,Fashion Rental,"Rent out designer ethnic wear, lehengas and sherwanis for weddings and events.",41-2021.00;27-1022.00,2,local,solo,both,
167,jewellery-brand,Jewellery Brand,Fashion & Apparel,Jewellery,"Demi-fine, silver or lab-grown diamond jewellery sold online under your own brand.",51-9071.00;27-1022.00;11-2021.00,3,online,small,full,
168,bags-and-accessories-brand,Bags & Accessories Brand,Fashion & Apparel,Accessories,"Handbags, travel bags, eyewear or watches designed in-house and made by local workshops.",27-1022.00;51-6041.00;51-1011.00,3,online,small,full,
169,home-cleaning-products-brand,Home Cleaning Products Brand,Retail & Trading,Home Care,"Natural or plant-based cleaners, detergents and fresheners made by a contract manufacturer.",19-4031.00;11-2021.00,2,any,small,full,
170,fruit-and-vegetable-processing,Fruit & Vegetable Processing,Agri & Rural,Food Processing,"Turn local fruit and vegetables into pulp, jams, dried snacks or powders instead of selling them raw at mandi prices.",51-3092.00;51-3093.00;11-9013.00,3,rural,small,full,
171,seafood-processing,Fisheries & Seafood Processing,Agri & Rural,Fisheries,"Process, freeze and pack fish, prawns and shrimp for domestic buyers and exporters.",51-3022.00;45-3031.00;11-9013.00,4,rural,team,full,
172,stone-and-marble-products,Stone & Marble Products,Crafts & Manufacturing,Stone,"Cut, polish and supply granite, marble and sandstone for builders, or carve décor pieces.",47-2022.00;51-9032.00;51-1011.00,4,local,team,full,
173,light-engineering-unit,Light Engineering & Auto Components,Crafts & Manufacturing,Engineering,"Machine, cast or forge parts for automobiles, pumps, farm implements and hardware.",51-4041.00;51-4071.00;51-1011.00,4,local,team,full,
174,edtech-startup,EdTech Startup,Digital & Tech,Apps,"Build learning products (courses, test prep or skill apps) while a tech co-founder builds the platform.",25-9031.00;11-9032.00;11-2021.00,3,online,team,full,
175,healthtech-startup,HealthTech Startup,Digital & Tech,Apps,"Run a digital health service (teleconsults, care programmes, wellness tracking), partnering with doctors while a team builds the tech.",11-9111.00;21-1091.00,3,online,team,full,
176,fintech-startup,FinTech Startup,Digital & Tech,Apps,"Money products (savings, investing, lending or expense apps) where trust and compliance are your job and a team builds the tech.",11-3031.00;13-2052.00,3,online,team,full,
177,community-and-social-app,Community & Social App,Digital & Tech,Apps,"Grow a community or social app around an interest, identity or city, running events and engagement.",27-3031.00;13-1121.00;11-2021.00,3,online,team,full,
178,services-marketplace-app,Services & Booking Marketplace,Digital & Tech,Apps,"Connect customers with local providers (salons, nannies, doctors, mechanics), onboarding supply and keeping quality high.",11-1021.00;41-3091.00,3,online,team,full,
179,content-and-media-platform,Content & Media Platform,Digital & Tech,Apps,"An audio, video, news or AI-content platform where you run programming, creators and audience growth.",27-3041.00;27-3043.00;11-2021.00,3,online,team,full,
180,gaming-and-esports,Gaming & Esports Startup,Digital & Tech,Apps,"Games, gaming communities or esports leagues, where you shape the gameplay and grow the player base.",15-1255.01;11-2021.00,3,online,team,full,
181,b2b-saas-startup,B2B SaaS Startup,Digital & Tech,Apps,Software businesses pay for monthly. You spend your days selling and solving customer problems while a team codes.,11-2022.00;41-4011.00;15-1211.00,3,online,team,full,
182,consumer-gadgets-brand,Consumer Gadgets & Appliances Brand,Crafts & Manufacturing,Gadgets,"Design gadgets or home appliances, get them made by a contract manufacturer, and sell online and in stores.",27-1021.00;13-1022.00;11-2021.00,4,online,small,full,
183,safety-and-security-devices,Safety & Security Devices,Crafts & Manufacturing,Gadgets,"Helmets, locks, gas-leak guards and safety wearables for homes, fleets and institutions. Certification and B2B selling are your core job.",17-2111.00;41-4011.00;51-1011.00,4,any,small,full,
184,deeptech-hardware,Deep-Tech Hardware,Crafts & Manufacturing,R&D,"Robots, drones, EV tech or sensors, where you lead the engineering and R&D yourself.",17-2141.00;17-2071.00;51-1011.00,4,any,team,full,
185,industrial-solutions,Industrial & Infrastructure Solutions,Crafts & Manufacturing,B2B Industrial,"Products and systems for factories, builders, fuel stations or cities, sold through long B2B and government deals.",17-2112.00;41-4011.00;11-3051.00,4,any,team,full,
186,restaurant,Restaurant,Food,Restaurants,"A sit-down restaurant with a clear cuisine or concept: thalis, vegan, millet, fine dining.",35-1011.00;11-9051.00;35-3031.00,4,local,team,full,
187,specialty-retail-store,Specialty Retail Store,Retail & Trading,Specialty Retail,"A curated store for one niche (anime merch, plus-size fashion, artisanal cheese) that fans travel to.",41-2031.00;13-1022.00;41-1011.00,3,local,small,full,
188,online-course-creator,Online Course & Cohort Creator,Education & Coaching,Online Courses,"Teach a skill you already have through recorded courses, live cohorts or workshops.",25-3021.00;25-9031.00,1,online,solo,both,
189,health-clinic,Specialty Health Clinic,Health & Wellness,Clinics,"A clinic run with qualified practitioners: physiotherapy, Ayurveda, de-addiction, therapy.",11-9111.00;29-1141.00;29-1123.00,4,local,team,full,
190,logistics-and-warehousing,Logistics & Warehousing,Mobility & Logistics,Logistics,"Cold chain, trucking, storage or returns handling for e-commerce and SME shippers.",11-3071.00;13-1081.00;43-5071.00;53-3032.00,4,local,team,full,
191,equipment-rental-business,Equipment & Tool Rental,Retail & Trading,Rentals,"Rent out tools, medical equipment or machinery by the day or month instead of selling it.",41-2021.00;49-9071.00;11-1021.00,3,local,small,full,
192,sustainability-consulting,Sustainability & Energy Consulting,Professional Services,Consulting,"Help companies and builders cut energy bills, get green ratings and report emissions.",13-1199.05;17-2081.00;13-1111.00,1,any,small,both,
193,specialty-crop-farming,Specialty Crop Farming,Agri & Rural,Farming,"Grow high-value crops like dragon fruit, avocado, quinoa or chia for city buyers.",11-9013.00;45-2092.00,3,rural,small,full,
