key,name,industry,description,idea_slug,mapped_by
S1E0P140,Deciwood,Electronics,Portable wooden Bluetooth speakers,hardware-product-startup,smart|device|detector|disposal|deterrence|machine|lock|invention|automatic|autonomous|portable|wearable|3d printing|drone|television|speaker|audio|headphone|jet spray|urinal|cradle|fan rod|drinking shield|storage|fire extinguisher|cooker|cooling|billing|lighting|dryer|stick|telescope|card|currency|packaging|chemical|contamination|pipelines|congestion|fuel|mosquito|material|mats|panels|restoration|construction|robot|attachment|ashtray|mirroring|sauna|glass
S1E0P141,Happy Bar,Food and Beverage,FitSport delicious snacks,healthy-snacks-brand,snack|chips|nachos|nuts|dry fruits|popcorn|muesli|granola|energy bar|protein bar|bars\b|peanut butter|millet|superfood|super food|guilt|protein|diabetes|gluten|healthy|nutri|kamdhenu|puranpoli|ayurvedic enriched|wellness in the form
S1E0P142,Tathastulive,Business Services,"Offer Daan, Puja and Yajna",pooja-and-incense-products,pooja|puja|daan|yajna|incense|temple|for gods|devotional|spiritual
S1E0P143,Bandsand Cups,Beauty/Fashion,Bra fitting service,beauty-salon,salon|skincare services|bra fitting
S1E0P144,My Wealth Protector,Business Services,Beyond Life Service,funeral-services,funeral|last rites|beyond life
S1E0P145,The Iris,Manufacturing,Pocket Microscopes,toys-and-games-brand,toy|games|balance bike|playing equipment|diy kits|satellites by kids|microscope|crayon
S1E0P146,Canebot,Food and Beverage,Juice making machine,hardware-product-startup,machine|waterless|wheelchair|wearable|air purifier|cleaning device|massager|smart watch
S1E0P147,Oye Delhi Oye,Food and Beverage,Delhi Ke Chole Kulche,quick-service-food-outlet,qsr|restaurant|food kart|food truck|maggi|pizza|kulche|parathas|cuisine|dining|pancake|kunafa
S1E0P148,Inali Assistive Tech,Medical/Health,Prosthetics,medical-devices-startup,device|machine|system|test|wearable|monitor|stethoscope|prosthetic|kit|wheelchair|ecg|eeg|headband|hearing|screening|diagnos|dialysis|cooling|uroflow|dental|orthotic|aid
S1E0P149,Meera's Celebrations,Business Services,Wedding ceremonial items,wedding-planning,wedding planner|wedding hall|wedding ceremonial
S1E0P150,Artment,Lifestyle/Home,Exquisite pieces of home decor,handcrafted-home-decor,"decor|handicraft|handcrafted|artisan|art & craft|art by|mural|neon|rug|clay|copper|brass|marble|handmade|hand-painted|design, aesthetics"
S1E0P151,Powertree,Manufacturing,Beautiful efficient solar panels,solar-installation,solar
S1E0P152,Eume,Beauty/Fashion,Massager Backpack,hardware-product-startup,machine|waterless|wheelchair|wearable|air purifier|cleaning device|massager|smart watch
S2E1P153,Hoovu,Business Services,Fresh Pooja flowers,pooja-and-incense-products,pooja|puja|daan|yajna|incense|temple|for gods|devotional|spiritual
S2E1P154,Dorji,Food and Beverage,Flavors of Tea,beverage-brand,coffee|espresso|cocktail|\btea\b|tea dip|matcha|kombucha|beverage|drink|juice|lemonade|shake|water|mixer|bubble tea|spirit|beer|mead
S2E1P155,Recode,Beauty/Fashion,Beauty & cosmetics,personal-care-brand,skin|\bhair|beauty|cosmetic|makeup|make-up|perfume|fragrance|attar|deo|toilet spray|intimate hygiene|urine bag|waterless bathing|oil|cigarette|cannabis|care products|toothpaste|toothbrush|diaper|home care|belly button
S2E2P156,Very Much Indian,Beauty/Fashion,Paithani Handloom Sarees,handloom-textiles-brand,handloom|saree|paithani|silk|handwoven|lucknow|jaipur|fabric retail|fabric sourcing|fabrics
S2E2P157,Watchout Wearables,Electronics,Smart watches,hardware-product-startup,machine|waterless|wheelchair|wearable|air purifier|cleaning device|massager|smart watch
S2E2P158,Soup X,Food and Beverage,Soup based meals,frozen-and-ready-to-cook-foods,momo|frozen|ready to cook|jackfruit|instant curr|soup|ready-to-eat|soya chaap|plant based meat|plant-based meat|diy food|breakfast option|overnight oats
S2E3P159,ATMOSPHERE,Food and Beverage,Varieties of kombucha,beverage-brand,coffee|espresso|cocktail|\btea\b|tea dip|matcha|kombucha|beverage|drink|juice|lemonade|shake|water|mixer|bubble tea|spirit|beer|mead
S2E3P160,Stage,Entertainment,Web series and movies in Indian languages,publishing-and-comics,publishing|web series|movie|audio content|streaming
S2E3P161,Girgit,Beauty/Fashion,color-changing clothing products,d2c-apparel-brand,wear|cloth|apparel|fashion|lifestyle products for women|dress|denim|streetwear|lingerie|swim|underwear|innerwear|shapewear|petticoat|sleeves|abaya|kurta|sarees|sikh|tactical|vest|maternity|textile
S2E4P162,Gear Head Motors,Vehicles/Electrical Vehicles,Electric vehicles bikes,ev-assembly,.
S2E4P163,Patil Kaki,Food and Beverage,Homemade snacks,healthy-snacks-brand,snack|chips|nachos|nuts|dry fruits|popcorn|muesli|granola|energy bar|protein bar|bars\b|peanut butter|millet|superfood|super food|guilt|protein|diabetes|gluten|healthy|nutri|kamdhenu|puranpoli|ayurvedic enriched|wellness in the form
S2E4P164,Brandsdaddy,Manufacturing,Auto Fire Extinguisher,hardware-product-startup,smart|device|detector|disposal|deterrence|machine|lock|invention|automatic|autonomous|portable|wearable|3d printing|drone|television|speaker|audio|headphone|jet spray|urinal|cradle|fan rod|drinking shield|storage|fire extinguisher|cooker|cooling|billing|lighting|dryer|stick|telescope|card|currency|packaging|chemical|contamination|pipelines|congestion|fuel|mosquito|material|mats|panels|restoration|construction|robot|attachment|ashtray|mirroring|sauna|glass
S2E5P165,Winston,Beauty/Fashion,Techno beauty products at home,personal-care-brand,skin|\bhair|beauty|cosmetic|makeup|make-up|perfume|fragrance|attar|deo|toilet spray|intimate hygiene|urine bag|waterless bathing|oil|cigarette|cannabis|care products|toothpaste|toothbrush|diaper|home care|belly button
S2E5P166,Flatheads,Beauty/Fashion,Shoes Sneakers Loafers,footwear-brand,shoe|footwear|sneaker|insole|loafer
S2E5P167,Organic Smokes,Beauty/Fashion,Organic Cigarettes Cigarillos Smokes,personal-care-brand,skin|\bhair|beauty|cosmetic|makeup|make-up|perfume|fragrance|attar|deo|toilet spray|intimate hygiene|urine bag|waterless bathing|oil|cigarette|cannabis|care products|toothpaste|toothbrush|diaper|home care|belly button
S2E6P168,Tea Fit,Food and Beverage,Refreshing beverages,beverage-brand,coffee|espresso|cocktail|\btea\b|tea dip|matcha|kombucha|beverage|drink|juice|lemonade|shake|water|mixer|bubble tea|spirit|beer|mead
S2E6P169,Haqdarshak,Business Services,Platform to know about welfare schemes for MSMEs,consumer-app-startup,\bapp\b|platform|dating|social|meetup|club|conversations|anger management|astrology|letter writing
S2E6P170,Bhaskar's Puranpoli Ghar,Food and Beverage,Varieties of Puranpoli snacks,healthy-snacks-brand,snack|chips|nachos|nuts|dry fruits|popcorn|muesli|granola|energy bar|protein bar|bars\b|peanut butter|millet|superfood|super food|guilt|protein|diabetes|gluten|healthy|nutri|kamdhenu|puranpoli|ayurvedic enriched|wellness in the form
S2E7P171,Gunjan Apps Studios,Technology/Software,CHILDREN'S PLAYFUL LEARNING PARTNER,test-prep-online,learning|courses|chess|edtech|interviews|career|school|classes|learn
S2E7P172,The Simply Salad,Food and Beverage,Freshly chopped salads,juice-and-shake-bar,fruit juices|fruit salad|fresh fruits|salads|smoothie
S2E7P173,Ayu Synk,Medical/Health,Digital Stethoscopes,medical-devices-startup,device|machine|system|test|wearable|monitor|stethoscope|prosthetic|kit|wheelchair|ecg|eeg|headband|hearing|screening|diagnos|dialysis|cooling|uroflow|dental|orthotic|aid
S2E8P174,Atypical Advantage,Technology/Software,Platform for persons with disabilities,consumer-app-startup,.
S2E8P175,House Of Chikankari,Beauty/Fashion,HANDMADE BY ARTISANS OF LUCKNOW,handloom-textiles-brand,handloom|saree|paithani|silk|handwoven|lucknow|jaipur|fabric retail|fabric sourcing|fabrics
S2E8P176,Magic Of Memories,Beauty/Fashion,DNA Jewllery,jewellery-brand,jewel|jewll|diamond|bangle|bindi|stones
S2E9P177,Paradyes,Beauty/Fashion,Semi Permanent Hair Color,personal-care-brand,skin|\bhair|beauty|cosmetic|makeup|make-up|perfume|fragrance|attar|deo|toilet spray|intimate hygiene|urine bag|waterless bathing|oil|cigarette|cannabis|care products|toothpaste|toothbrush|diaper|home care|belly button
S2E9P178,Nestroots,Lifestyle/Home,"House of design, aesthetics and elegance",handcrafted-home-decor,"decor|handicraft|handcrafted|artisan|art & craft|art by|mural|neon|rug|clay|copper|brass|marble|handmade|hand-painted|design, aesthetics"
S2E10P179,Zillionaire,Beauty/Fashion,Unique styles of stones and jewels,jewellery-brand,jewel|jewll|diamond|bangle|bindi|stones
S2E10P180,Credmate,Technology/Software,Platform for credit score,consumer-app-startup,.
S2E10P181,Freebowler,Fitness/Sports/Outdoors,Non-Electric & Portable Bowling Machines,sports-goods-brand,bat|bowling|paddle|archery|shop|skateboard|gear|equipment|tools|sportswear|apparel|peripherals
S2E11P182,ABCSports&Fitness,Fitness/Sports/Outdoors,Sports training institute,sports-coaching-academy,institute|academy|training|calisthenics|chess|sport for|recreation
S2E11P183,Primebook,Technology/Software,Android Apps on Windows laptops,consumer-app-startup,.
S2E11P184,Daily Dump,Manufacturing,Compost Bins,recycling-and-waste,waste|scrap|recycl|compost|upcycl|plastic
S2E12P185,Ghar Soaps,Beauty/Fashion,Pure Organic Soaps,handmade-soap-and-cosmetics,soap|lipstick|crochet
S2E12P186,Janitri,Medical/Health,Pregnancy Monitoring systems,medical-devices-startup,device|machine|system|test|wearable|monitor|stethoscope|prosthetic|kit|wheelchair|ecg|eeg|headband|hearing|screening|diagnos|dialysis|cooling|uroflow|dental|orthotic|aid
S2E12P187,Jaipur Watch Company,Manufacturing,Made in India Imperial Automatic Watches,bags-and-accessories-brand,\bbags?\b|backpack|sling|clutch|handbag|luggage|suitcase|accessories|eyewear|eye wear|watches
S2E13P188,Inside FPV,Manufacturing,Plug and Fly Drones,hardware-product-startup,smart|device|detector|disposal|deterrence|machine|lock|invention|automatic|autonomous|portable|wearable|3d printing|drone|television|speaker|audio|headphone|jet spray|urinal|cradle|fan rod|drinking shield|storage|fire extinguisher|cooker|cooling|billing|lighting|dryer|stick|telescope|card|currency|packaging|chemical|contamination|pipelines|congestion|fuel|mosquito|material|mats|panels|restoration|construction|robot|attachment|ashtray|mirroring|sauna|glass
S2E13P189,Angrakhaa,Beauty/Fashion,Contemporary Indian clothing,d2c-apparel-brand,wear|cloth|apparel|fashion|lifestyle products for women|dress|denim|streetwear|lingerie|swim|underwear|innerwear|shapewear|petticoat|sleeves|abaya|kurta|sarees|sikh|tactical|vest|maternity|textile
S2E13P190,Diabexy,Food and Beverage,Diabetes Friendly Food Products,healthy-snacks-brand,snack|chips|nachos|nuts|dry fruits|popcorn|muesli|granola|energy bar|protein bar|bars\b|peanut butter|millet|superfood|super food|guilt|protein|diabetes|gluten|healthy|nutri|kamdhenu|puranpoli|ayurvedic enriched|wellness in the form
S2E14P191,Kyari,Manufacturing,Smart stick Guardian,hardware-product-startup,smart|device|detector|disposal|deterrence|machine|lock|invention|automatic|autonomous|portable|wearable|3d printing|drone|television|speaker|audio|headphone|jet spray|urinal|cradle|fan rod|drinking shield|storage|fire extinguisher|cooker|cooling|billing|lighting|dryer|stick|telescope|card|currency|packaging|chemical|contamination|pipelines|congestion|fuel|mosquito|material|mats|panels|restoration|construction|robot|attachment|ashtray|mirroring|sauna|glass
S2E14P192,Mopp Foods,Food and Beverage,Mad over Parathas Pakodas,quick-service-food-outlet,qsr|restaurant|food kart|food truck|maggi|pizza|kulche|parathas|cuisine|dining|pancake|kunafa
S2E14P193,Econiture,Green/CleanTech,Furniture from plastic waste,recycling-and-waste,waste|scrap|recycl|compost|upcycl|plastic
S2E15P194,Dobiee,Food and Beverage,CANDIES MUSKIEE TOYS,sweet-shop,sweet|mithai|candy|candies|lollipop|chocolate|confection|chewing gum
S2E15P195,Fast Beetle,Business Services,Local courier and parcel service,local-delivery-service,courier|parcel
S2E15P196,Pflow,Medical/Health,Disposable uroflowmetry system,medical-devices-startup,device|machine|system|test|wearable|monitor|stethoscope|prosthetic|kit|wheelchair|ecg|eeg|headband|hearing|screening|diagnos|dialysis|cooling|uroflow|dental|orthotic|aid
S2E16P197,VSMani,Food and Beverage,Coffee and snacks,cafe,cafe|coffee and snacks
S2E16P198,Sepal,Manufacturing,Bike Accessories,bags-and-accessories-brand,\bbags?\b|backpack|sling|clutch|handbag|luggage|suitcase|accessories|eyewear|eye wear|watches
S2E16P199,Solinas,Business Services,"Products organise the management of pipelines,manholes and septic tanks",hardware-product-startup,smart|device|detector|disposal|deterrence|machine|lock|invention|automatic|autonomous|portable|wearable|3d printing|drone|television|speaker|audio|headphone|jet spray|urinal|cradle|fan rod|drinking shield|storage|fire extinguisher|cooker|cooling|billing|lighting|dryer|stick|telescope|card|currency|packaging|chemical|contamination|pipelines|congestion|fuel|mosquito|material|mats|panels|restoration|construction|robot|attachment|ashtray|mirroring|sauna|glass
S2E17P200,Avimee Herbal,Beauty/Fashion,Ayurveda hair skin products,personal-care-brand,ayurved
S2E17P201,eyenic,Beauty/Fashion,Eyewear,bags-and-accessories-brand,\bbags?\b|backpack|sling|clutch|handbag|luggage|suitcase|accessories|eyewear|eye wear|watches
S2E17P202,ekatra,Lifestyle/Home,Handmade paper goods,eco-friendly-products-brand,\beco|sustainab|bamboo|bioplastic|afforestation|climate|biodegrad|paper goods|handmade paper
S2E18P203,Raasa,Food and Beverage,Food karts,quick-service-food-outlet,qsr|restaurant|food kart|food truck|maggi|pizza|kulche|parathas|cuisine|dining|pancake|kunafa
S2E18P204,Neo Motion,Manufacturing,Wheelchairs,hardware-product-startup,machine|waterless|wheelchair|wearable|air purifier|cleaning device|massager|smart watch
S2E18P205,licksters,Food and Beverage,Icecreams ice-pops,ice-cream-and-desserts-brand,ice.?cream|ice-?pops|gelato|dessert|kheer|cheesecake|waffles
S2E18P206,Sayonara,Beauty/Fashion,Petticoat,d2c-apparel-brand,wear|cloth|apparel|fashion|lifestyle products for women|dress|denim|streetwear|lingerie|swim|underwear|innerwear|shapewear|petticoat|sleeves|abaya|kurta|sarees|sikh|tactical|vest|maternity|textile
S2E19P207,PMV,Vehicles/Electrical Vehicles,Personal Mobility Vehicle,ev-assembly,.
S2E19P208,Spice Story,Food and Beverage,Indian Sauces Chutneys,pickle-and-papad-brand,pickle|chutney|sauce|relish|jam|marinade|fruit spread|mukhwas|mouth fresh
S2E19P209,Bullspree,Technology/Software,App to learn stock market basics,test-prep-online,learning|courses|chess|edtech|interviews|career|school|classes|learn
S2E20P210,Snitch,Beauty/Fashion,Menswear,d2c-apparel-brand,wear|cloth|apparel|fashion|lifestyle products for women|dress|denim|streetwear|lingerie|swim|underwear|innerwear|shapewear|petticoat|sleeves|abaya|kurta|sarees|sikh|tactical|vest|maternity|textile
S2E20P211,Portl,Business Services,Portl studio gym,gym,\bgym
S2E20P212,Fat To Slim,Beauty/Fashion,Diet Plan Weight Loss,nutrition-coaching,keto|diet
S2E21P213,Cheese Cake&Co.,Food and Beverage,Cakes Slices,home-bakery,cake|bakery|cookie|bread
S2E21P214,Dabble,Manufacturing,Paints Crayons Brushes,stationery-and-art-supplies,override
S2E21P215,Cloud Tailor,Business Services,Custom tailor online,boutique-tailoring,tailor
S2E21P216,Be Unic,Business Services,Platform for LGBTQ+ creators and entrepreneurs,consumer-app-startup,\bapp\b|platform|dating|social|meetup|club|conversations|anger management|astrology|letter writing
S2E22P217,Broomees,Business Services,Helpers homemakers for your home,home-cleaning-service,helpers|homemakers|service request
S2E22P218,Ravel,Beauty/Fashion,Custom Hair Products,personal-care-brand,skin|\bhair|beauty|cosmetic|makeup|make-up|perfume|fragrance|attar|deo|toilet spray|intimate hygiene|urine bag|waterless bathing|oil|cigarette|cannabis|care products|toothpaste|toothbrush|diaper|home care|belly button
S2E22P219,Honey Veda,Food and Beverage,Honey in natural nutritious form,honey-and-organic-produce,\bhoney\b|organic products|organic grocery|jaggery|jamun|organic spices
S2E23P220,Pad Care,Manufacturing,Menstrual hygiene disposal solution,hardware-product-startup,smart|device|detector|disposal|deterrence|machine|lock|invention|automatic|autonomous|portable|wearable|3d printing|drone|television|speaker|audio|headphone|jet spray|urinal|cradle|fan rod|drinking shield|storage|fire extinguisher|cooker|cooling|billing|lighting|dryer|stick|telescope|card|currency|packaging|chemical|contamination|pipelines|congestion|fuel|mosquito|material|mats|panels|restoration|construction|robot|attachment|ashtray|mirroring|sauna|glass
S2E23P221,Swadeshi Blessings,Lifestyle/Home,Clay utensils and cookwares,handcrafted-home-decor,"decor|handicraft|handcrafted|artisan|art & craft|art by|mural|neon|rug|clay|copper|brass|marble|handmade|hand-painted|design, aesthetics"
S2E23P222,OLL,Technology/Software,Online Live Learning Skill development classes,test-prep-online,learning|courses|chess|edtech|interviews|career|school|classes|learn
S2E23P223,Febris,Medical/Health,"Scrubs, Lab Coats & Medical Apparel",d2c-apparel-brand,scrubs|apparel
S2E24P224,Geeani,Vehicles/Electrical Vehicles,Smallest EV tractor,ev-assembly,.
S2E24P225,Amore,Food and Beverage,Gelato Ice Cream Online,ice-cream-and-desserts-brand,ice.?cream|ice-?pops|gelato|dessert|kheer|cheesecake|waffles
S2E24P226,Leafy Affair,Beauty/Fashion,Botanical Jewellery,jewellery-brand,jewel|jewll|diamond|bangle|bindi|stones
S2E25P227,Scrap Uncle,Green/CleanTech,Sell scrap recyclables online,recycling-and-waste,waste|scrap|recycl|compost|upcycl|plastic
S2E25P228,Sharma Ji Ki Aata,Food and Beverage,Freshly milled atta,spice-processing-unit,spice|\batta\b|flour|\baata\b
S2E25P229,Manetain,Beauty/Fashion,Curly Hair Care Products,personal-care-brand,skin|\bhair|beauty|cosmetic|makeup|make-up|perfume|fragrance|attar|deo|toilet spray|intimate hygiene|urine bag|waterless bathing|oil|cigarette|cannabis|care products|toothpaste|toothbrush|diaper|home care|belly button
S2E26P230,Gavin Paris,Beauty/Fashion,Gender-Neutral Fashion,d2c-apparel-brand,wear|cloth|apparel|fashion|lifestyle products for women|dress|denim|streetwear|lingerie|swim|underwear|innerwear|shapewear|petticoat|sleeves|abaya|kurta|sarees|sikh|tactical|vest|maternity|textile
S2E26P231,Un Stop,Technology/Software,Connecting talent colleges recruiters,b2b-marketplace,marketplace|kirana|truck drivers|recruiters|design marketplace
S2E26P232,Blue Tea,Food and Beverage,Ayurvedic Herbal Tea,beverage-brand,coffee|espresso|cocktail|\btea\b|tea dip|matcha|kombucha|beverage|drink|juice|lemonade|shake|water|mixer|bubble tea|spirit|beer|mead
S2E27P233,The Green Snack,Food and Beverage,Healthy Snacks Online,healthy-snacks-brand,snack|chips|nachos|nuts|dry fruits|popcorn|muesli|granola|energy bar|protein bar|bars\b|peanut butter|millet|superfood|super food|guilt|protein|diabetes|gluten|healthy|nutri|kamdhenu|puranpoli|ayurvedic enriched|wellness in the form
S2E27P234,Hobby India,Lifestyle/Home,Online Art & Craft Store,handcrafted-home-decor,"decor|handicraft|handcrafted|artisan|art & craft|art by|mural|neon|rug|clay|copper|brass|marble|handmade|hand-painted|design, aesthetics"
S2E27P235,Flhexible,Lifestyle/Home,Composite paper honeycomb panels,hardware-product-startup,smart|device|detector|disposal|deterrence|machine|lock|invention|automatic|autonomous|portable|wearable|3d printing|drone|television|speaker|audio|headphone|jet spray|urinal|cradle|fan rod|drinking shield|storage|fire extinguisher|cooker|cooling|billing|lighting|dryer|stick|telescope|card|currency|packaging|chemical|contamination|pipelines|congestion|fuel|mosquito|material|mats|panels|restoration|construction|robot|attachment|ashtray|mirroring|sauna|glass
S2E27P236,Up Thrust,Fitness/Sports/Outdoors,ESPORTS AND GAMING ORGANISATION,consumer-app-startup,.
S2E28P237,Zoff,Food and Beverage,Cool Grind Technology Indian Spices,spice-processing-unit,spice|\batta\b|flour|\baata\b
S2E28P238,Desi Toys,Manufacturing,Indian Traditional Toys and Indoor Games,toys-and-games-brand,toy|games|balance bike|playing equipment|diy kits|satellites by kids|microscope|crayon
S2E28P239,Cloud Worx,Technology/Software,NoCode Enterprise Metaverse App Builder,saas-micro-product,software|automation|enterprise|optimization|character recognition|fees payment|builder|analytics|facade|fasade
S2E29P240,Mahantam,Manufacturing,Tea Glass Washing Machine,hardware-product-startup,machine|waterless|wheelchair|wearable|air purifier|cleaning device|massager|smart watch
S2E29P241,Mind Peers,Medical/Health,For Mental Strength,consumer-app-startup,.
S2E29P242,Barosi,Food and Beverage,Fresh & pure milk products,dairy-farm,milk|a2|dairy|cheese|eggs
S2E30P243,Daryaganj,Food and Beverage,North Indian Cuisine restaurant,quick-service-food-outlet,qsr|restaurant|food kart|food truck|maggi|pizza|kulche|parathas|cuisine|dining|pancake|kunafa
S2E30P244,Dhruv Vidyut,Vehicles/Electrical Vehicles,Invention converts cycle into an electric cycle,ev-assembly,.
S2E30P245,CELLBELL,Lifestyle/Home,Gaming Office Chairs,furniture-workshop,furniture|chair|mattress|kitchens
S2E31P246,Tipayi,Manufacturing,Balance Bike for Kids,toys-and-games-brand,toy|games|balance bike|playing equipment|diy kits|satellites by kids|microscope|crayon
S2E31P247,Digi Qure,Medical/Health,Book Doctors Appointments Video Consultation,consumer-app-startup,.
S2E31P248,Nirmalaya,Manufacturing,Incense products made from temple flowers,pooja-and-incense-products,pooja|puja|daan|yajna|incense|temple|for gods|devotional|spiritual
S2E32P249,Pabiben,Beauty/Fashion,Handcrafted products sold directly by artisans,handcrafted-home-decor,"decor|handicraft|handcrafted|artisan|art & craft|art by|mural|neon|rug|clay|copper|brass|marble|handmade|hand-painted|design, aesthetics"
S2E32P250,Homestrap,Lifestyle/Home,Collection of organizer for home and travelling,bags-and-accessories-brand,override
S2E32P251,u Breathe,Manufacturing,Smart Natural Air Purifier,hardware-product-startup,machine|waterless|wheelchair|wearable|air purifier|cleaning device|massager|smart watch
S2E32P252,Deyor,Technology/Software,Chatbot integrated experiential travel website,consumer-app-startup,.
S2E33P253,i Mumz,Medical/Health,Transforming pregnancy and parenting with app,consumer-app-startup,.
S2E33P254,The Healthy Binge,Food and Beverage,Assorted Pack Baked Chips,healthy-snacks-brand,snack|chips|nachos|nuts|dry fruits|popcorn|muesli|granola|energy bar|protein bar|bars\b|peanut butter|millet|superfood|super food|guilt|protein|diabetes|gluten|healthy|nutri|kamdhenu|puranpoli|ayurvedic enriched|wellness in the form
S2E33P255,Freakins,Beauty/Fashion,Fashionable Denim Apparel,d2c-apparel-brand,wear|cloth|apparel|fashion|lifestyle products for women|dress|denim|streetwear|lingerie|swim|underwear|innerwear|shapewear|petticoat|sleeves|abaya|kurta|sarees|sikh|tactical|vest|maternity|textile
S2E34P256,Perfora,Lifestyle/Home,Toothpaste Electric Toothbrush,personal-care-brand,skin|\bhair|beauty|cosmetic|makeup|make-up|perfume|fragrance|attar|deo|toilet spray|intimate hygiene|urine bag|waterless bathing|oil|cigarette|cannabis|care products|toothpaste|toothbrush|diaper|home care|belly button
S2E34P257,Mid Night Angels By PC,Beauty/Fashion,Lounge & Travel wear,d2c-apparel-brand,wear|cloth|apparel|fashion|lifestyle products for women|dress|denim|streetwear|lingerie|swim|underwear|innerwear|shapewear|petticoat|sleeves|abaya|kurta|sarees|sikh|tactical|vest|maternity|textile
S2E34P258,Cure See,Medical/Health,Artificial Intelligence (AI) based vision therapy,consumer-app-startup,.
S2E35P259,Medu Lance,Medical/Health,One-stop solution for all healthcare needs,consumer-app-startup,.
S2E35P260,Cakelicious,Food and Beverage,Cakes Online,home-bakery,cake|bakery|cookie|bread
S2E35P261,Bowled.io,Fitness/Sports/Outdoors,Play-to-Earn Social Gaming Platform,consumer-app-startup,.
S2E35P262,Toyshine,Manufacturing,Collection of Toys,toys-and-games-brand,toy|games|balance bike|playing equipment|diy kits|satellites by kids|microscope|crayon
S2E36P263,neuphony,Medical/Health,Wearable EEG Headband,medical-devices-startup,device|machine|system|test|wearable|monitor|stethoscope|prosthetic|kit|wheelchair|ecg|eeg|headband|hearing|screening|diagnos|dialysis|cooling|uroflow|dental|orthotic|aid
S2E36P264,Amrutam,Food and Beverage,Ayurvedic Lifestyle products,traditional-health-foods,ayurved|herbal|vegan fermented|hemp|fermented
S2E36P265,Holo Kitab,Technology/Software,Augmented Reality content for books,consumer-app-startup,.
S2E37P266,Zoe,Food and Beverage,Nutrition For Life. Shop health & wellness products,healthy-snacks-brand,snack|chips|nachos|nuts|dry fruits|popcorn|muesli|granola|energy bar|protein bar|bars\b|peanut butter|millet|superfood|super food|guilt|protein|diabetes|gluten|healthy|nutri|kamdhenu|puranpoli|ayurvedic enriched|wellness in the form
S2E37P267,Hornback,Vehicles/Electrical Vehicles,Diamond frame folding bicycles,ev-assembly,.
S2E37P268,Malaki,Food and Beverage,Non-Alcoholic Beverages,beverage-brand,coffee|espresso|cocktail|\btea\b|tea dip|matcha|kombucha|beverage|drink|juice|lemonade|shake|water|mixer|bubble tea|spirit|beer|mead
S2E37P269,nanoclean,Manufacturing,Contamination Control Solutions,hardware-product-startup,smart|device|detector|disposal|deterrence|machine|lock|invention|automatic|autonomous|portable|wearable|3d printing|drone|television|speaker|audio|headphone|jet spray|urinal|cradle|fan rod|drinking shield|storage|fire extinguisher|cooker|cooling|billing|lighting|dryer|stick|telescope|card|currency|packaging|chemical|contamination|pipelines|congestion|fuel|mosquito|material|mats|panels|restoration|construction|robot|attachment|ashtray|mirroring|sauna|glass
S2E38P270,Desmond Ji,Liquor/Alcohol,"Spirits, Liqueurs & Cocktail Blends",beverage-brand,.
S2E38P271,Cremeitalia,Food and Beverage,Fresh Italian Cheese Products,dairy-farm,milk|a2|dairy|cheese|eggs
S2E38P272,nawgati,Business Services,Congestion Management for Fuel Stations,hardware-product-startup,smart|device|detector|disposal|deterrence|machine|lock|invention|automatic|autonomous|portable|wearable|3d printing|drone|television|speaker|audio|headphone|jet spray|urinal|cradle|fan rod|drinking shield|storage|fire extinguisher|cooker|cooling|billing|lighting|dryer|stick|telescope|card|currency|packaging|chemical|contamination|pipelines|congestion|fuel|mosquito|material|mats|panels|restoration|construction|robot|attachment|ashtray|mirroring|sauna|glass
S2E38P273,Swytchd,Vehicles/Electrical Vehicles,All-inclusive Electric Vehicle Subscription,ev-charging-and-rental,rent|leasing|subscription|sharing
S2E39P274,Glad Ful,Food and Beverage,Natural High Protein Rich & Healthy Foods,healthy-snacks-brand,snack|chips|nachos|nuts|dry fruits|popcorn|muesli|granola|energy bar|protein bar|bars\b|peanut butter|millet|superfood|super food|guilt|protein|diabetes|gluten|healthy|nutri|kamdhenu|puranpoli|ayurvedic enriched|wellness in the form
S2E39P275,Pharmallama,Medical/Health,Simplified pharmacy,consumer-app-startup,.
S2E39P276,Crave Raja Foods,Food and Beverage,Cloud-kitchen service,cloud-kitchen,cloud.?kitchen|virtual restaurant|where's the food|homemade after delivery|homemade delicacies|delicacies
S2E39P277,VAPerfume,Lifestyle/Home,"Devotional, meditational, and romantic incense",pooja-and-incense-products,pooja|puja|daan|yajna|incense|temple|for gods|devotional|spiritual
S2E40P278,Hood,Technology/Software,Pseudonymous social network,consumer-app-startup,.
S2E40P279,Twisting Scoops,Food and Beverage,Authentic turkish ice cream,ice-cream-and-desserts-brand,ice.?cream|ice-?pops|gelato|dessert|kheer|cheesecake|waffles
S2E40P280,GROWi T,Agriculture,Protective farming products,agritech-devices,.
S2E41P281,Makino,Food and Beverage,Nachos & Nuts,healthy-snacks-brand,snack|chips|nachos|nuts|dry fruits|popcorn|muesli|granola|energy bar|protein bar|bars\b|peanut butter|millet|superfood|super food|guilt|protein|diabetes|gluten|healthy|nutri|kamdhenu|puranpoli|ayurvedic enriched|wellness in the form
S2E41P282,Trunome,Medical/Health,Post Transplant Care,consumer-app-startup,.
